log_var,lab_var,num_wells,avg_r,avg_abs_r,wells_found_in
Log_CALX,Lab_XRD_Quartz,2,-0.11983768912888013,0.37836252924883906,"['HRDH_1804', 'HRDH_1867']"
Log_PE,Lab_XRF_Cl,2,0.11211915027858763,0.3779321109013597,"['HRDH_1119', 'HRDH_697']"
Log_ZDNC,Lab_XRD_K-Feldspar,2,0.37774563235959513,0.37774563235959513,"['HRDH_1867', 'HRDH_697']"
Log_ZDEN,Lab_XRD_K-Feldspar,2,0.3777286923995631,0.3777286923995631,"['HRDH_1867', 'HRDH_697']"
Log_GRSL,Lab_XRF_Al,2,0.37771482337646767,0.37771482337646767,"['HRDH_1119', 'HRDH_697']"
Log_TH,Lab_XRF_Si,2,0.37701105330121787,0.37701105330121787,"['HRDH_1119', 'HRDH_697']"
Log_THC,Lab_XRD_Dickite,2,0.3767818620955441,0.3767818620955441,"['HRDH_1804', 'HRDH_1867']"
Log_GRSL,Lab_XRF_K,2,0.3760471080170579,0.3760471080170579,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRF_Sr,2,0.05569631443075637,0.37539680809482967,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRF_P,2,0.05925729537856789,0.3690464468205185,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRF_K,2,0.3688264459506748,0.3688264459506748,"['HRDH_1119', 'HRDH_697']"
Log_RTHK,Lab_XRF_Si,2,0.36407835439275565,0.36407835439275565,"['HRDH_1119', 'HRDH_697']"
Log_ZDNC,Lab_XRF_P,2,-0.36178157464095606,0.36178157464095606,"['HRDH_1119', 'HRDH_697']"
Log_ZDEN,Lab_XRF_P,2,-0.3617284127307008,0.3617284127307008,"['HRDH_1119', 'HRDH_697']"
